tiraz,1-number,2-number,3-number,4-number,5-number,6-number,datetime,jackpot
4408,6,31,25,7,29,8,2019-05-23 23:00:00,31618593
4407,2,28,29,24,33,19,2019-05-23 11:00:00,31191634
4406,13,24,18,30,32,16,2019-05-22 23:00:00,30373642
4405,41,31,8,9,6,13,2019-05-22 11:00:00,29937202
4404,17,22,7,38,42,12,2019-05-21 23:00:00,29344524
4403,28,23,42,14,13,40,2019-05-21 11:00:00,29014606
4402,36,35,16,39,32,10,2019-05-20 23:00:00,28233756
4401,38,35,7,3,26,10,2019-05-20 11:00:00,27829384
4400,18,33,17,45,26,31,2019-05-19 23:00:00,27073290
4399,15,41,18,7,37,36,2019-05-19 11:00:00,26706434
4398,33,15,23,17,40,39,2019-05-18 23:00:00,25730298
4397,31,8,29,36,28,5,2019-05-18 11:00:00,25257412
4396,12,24,41,32,35,8,2019-05-17 23:00:00,24552123
4395,34,36,10,39,19,26,2019-05-17 11:00:00,24045727
4394,10,27,37,2,1,39,2019-05-16 23:00:00,23133479
